Data File Name,Scale Name,Column Name,transform,reverse,min,max,Risky_Sex_Regular _Partner,Risky_Sex_Don't_Know_Well,Abstinence,Illicit_Drugs,Drove_Drinking,Risky_Drinking,Risky_Car,Aggressive_Illegal
TDS2_Session_2_B,CARE-R Willingness to Engage,CARE_WE_1A,0,0,,,1,0,0,0,0,0,0,0
TDS2_Session_2_B,CARE-R Willingness to Engage,CARE_WE_1B,0,0,,,0,1,0,0,0,0,0,0
TDS2_Session_2_B,CARE-R Willingness to Engage,CARE_WE_2A,0,0,,,1,0,0,0,0,0,0,0
TDS2_Session_2_B,CARE-R Willingness to Engage,CARE_WE_2B,0,0,,,0,1,0,0,0,0,0,0
TDS2_Session_2_B,CARE-R Willingness to Engage,CARE_WE_3A,0,0,,,1,0,0,0,0,0,0,0
TDS2_Session_2_B,CARE-R Willingness to Engage,CARE_WE_3B,0,0,,,0,1,0,0,0,0,0,0
TDS2_Session_2_B,CARE-R Willingness to Engage,CARE_WE_4A,0,0,,,1,0,0,0,0,0,0,0
TDS2_Session_2_B,CARE-R Willingness to Engage,CARE_WE_4B,0,0,,,0,1,0,0,0,0,0,0
TDS2_Session_2_B,CARE-R Willingness to Engage,CARE_WE_5A,0,0,,,1,0,0,0,0,0,0,0
TDS2_Session_2_B,CARE-R Willingness to Engage,CARE_WE_5B,0,0,,,0,1,0,0,0,0,0,0
TDS2_Session_2_B,CARE-R Willingness to Engage,CARE_WE_6,0,0,,,0,1,0,0,0,0,0,0
TDS2_Session_2_B,CARE-R Willingness to Engage,CARE_WE_7,0,0,,,0,1,0,0,0,0,0,0
TDS2_Session_2_B,CARE-R Willingness to Engage,CARE_WE_8,0,0,,,0,1,0,0,0,0,0,0
TDS2_Session_2_B,CARE-R Willingness to Engage,CARE_WE_9,0,1,1,7,0,0,1,0,0,0,0,0
TDS2_Session_2_B,CARE-R Willingness to Engage,CARE_WE_10A,0,0,,,0,0,0,1,0,0,0,0
TDS2_Session_2_B,CARE-R Willingness to Engage,CARE_WE_10B,0,0,,,0,0,0,1,0,0,0,0
TDS2_Session_2_B,CARE-R Willingness to Engage,CARE_WE_10C,0,0,,,0,0,0,1,0,0,0,0
TDS2_Session_2_B,CARE-R Willingness to Engage,CARE_WE_10D,0,0,,,0,0,0,1,0,0,0,0
TDS2_Session_2_B,CARE-R Willingness to Engage,CARE_WE_10E,0,0,,,0,0,0,1,0,0,0,0
TDS2_Session_2_B,CARE-R Willingness to Engage,CARE_WE_10F,0,0,,,0,0,0,1,0,0,0,0
TDS2_Session_2_B,CARE-R Willingness to Engage,CARE_WE_10G,0,0,,,0,0,0,1,0,0,0,0
TDS2_Session_2_B,CARE-R Willingness to Engage,CARE_WE_OD,0,0,,,0,0,0,0,0,0,0,0
TDS2_Session_2_B,CARE-R Willingness to Engage,CARE_WE_11A,0,0,,,0,0,0,0,1,0,0,0
TDS2_Session_2_B,CARE-R Willingness to Engage,CARE_WE_11B,0,0,,,0,0,0,0,1,0,0,0
TDS2_Session_2_B,CARE-R Willingness to Engage,CARE_WE_11C,0,0,,,0,0,0,0,1,0,0,0
TDS2_Session_2_B,CARE-R Willingness to Engage,CARE_WE_12,0,0,,,0,0,0,0,0,1,0,0
TDS2_Session_2_B,CARE-R Willingness to Engage,CARE_WE_13,0,0,,,0,0,0,0,0,1,0,0
TDS2_Session_2_B,CARE-R Willingness to Engage,CARE_WE_14,0,0,,,0,0,0,0,0,1,0,0
TDS2_Session_2_B,CARE-R Willingness to Engage,CARE_WE_15,0,0,,,0,0,0,0,0,1,0,0
TDS2_Session_2_B,CARE-R Willingness to Engage,CARE_WE_16,0,0,,,0,0,0,0,0,1,0,0
TDS2_Session_2_B,CARE-R Willingness to Engage,CARE_WE_17,0,0,,,0,0,0,0,0,0,1,0
TDS2_Session_2_B,CARE-R Willingness to Engage,CARE_WE_18,0,0,,,0,0,0,0,0,0,1,0
TDS2_Session_2_B,CARE-R Willingness to Engage,CARE_WE_19,0,0,,,0,0,0,0,0,0,0,1
TDS2_Session_2_B,CARE-R Willingness to Engage,CARE_WE_20,0,0,,,0,0,0,0,0,0,0,1
TDS2_Session_2_B,CARE-R Willingness to Engage,CARE_WE_21,0,0,,,0,0,0,0,0,0,0,1
TDS2_Session_2_B,CARE-R Willingness to Engage,CARE_WE_22,0,0,,,0,0,0,0,0,0,0,1
TDS2_Session_2_B,CARE-R Willingness to Engage,CARE_WE_23,0,0,,,0,0,0,0,0,0,0,1
TDS2_Session_2_B,CARE-R Willingness to Engage,CARE_WE_24,0,0,,,0,0,0,0,0,0,0,1
TDS2_Session_2_B,CARE-R Willingness to Engage,CARE_WE_25,0,0,,,0,0,0,0,0,0,0,0
TDS2_Session_2_B,CARE-R Willingness to Engage,CARE_WE_RP,0,0,,,0,0,0,0,0,0,0,0
