Data File Name,Scale Name,Column Name,Reverse,Transform,Min,Max,Duration,Disturbance,Latency,Dysfunction,Efficiency,Sleep quality,meds,total
TDS1_Session_3_Child,PSQI,PSQI_1,,,,,,0,,0,,0,0,1
TDS1_Session_3_Child,PSQI,PSQI_2,,,,,,0,,0,,0,0,1
TDS1_Session_3_Child,PSQI,PSQI_3,,,,,,0,,0,,0,0,1
TDS1_Session_3_Child,PSQI,PSQI_4,,,,,,0,,0,,0,0,1
TDS1_Session_3_Child,PSQI,PSQI_5_a,,,1,4,,1,,0,,0,0,1
TDS1_Session_3_Child,PSQI,PSQI_5_b,,,1,4,,1,,0,,0,0,1
TDS1_Session_3_Child,PSQI,PSQI_5_c,,,1,4,,1,,0,,0,0,1
TDS1_Session_3_Child,PSQI,PSQI_5_d,,,1,4,,1,,0,,0,0,1
TDS1_Session_3_Child,PSQI,PSQI_5_e,,,1,4,,1,,0,,0,0,1
TDS1_Session_3_Child,PSQI,PSQI_5_f,,,1,4,,1,,0,,0,0,1
TDS1_Session_3_Child,PSQI,PSQI_5_g,,,1,4,,1,,0,,0,0,1
TDS1_Session_3_Child,PSQI,PSQI_5_h,,,1,4,,1,,0,,0,0,1
TDS1_Session_3_Child,PSQI,PSQI_5_i,,,1,4,,1,,0,,0,0,1
TDS1_Session_3_Child,PSQI,PSQI_5_j,,,1,4,,1,,0,,0,0,1
TDS1_Session_3_Child,PSQI,PSQI_6_a,,,1,4,,0,,0,,0,1,1
TDS1_Session_3_Child,PSQI,PSQI_7,,,1,4,,0,,1,,0,0,1
TDS1_Session_3_Child,PSQI,PSQI_8,,,1,4,,0,,1,,0,0,1
TDS1_Session_3_Child,PSQI,PSQI_9,,,0,3,,0,,0,,1,0,1
TDS1_Session_3_Child,PSQI,PSQI_10,,,1,2,,0,,0,,0,0,1
TDS1_Session_3_Child,PSQI,PSQI_11,,,1,2,,0,,0,,0,0,1
TDS1_Session_3_Child,PSQI,PSQI_12,,,,,,0,,0,,0,0,1
TDS1_Session_3_Child,PSQI,PSQI_14,,,0,3,,0,,0,,0,0,1
TDS1_Session_3_Child,PSQI,PSQI_15,,,,,,0,,0,,0,0,1
TDS1_Session_3_Child,PSQI,PSQI_17,,,0,3,,0,,0,,0,0,1
